Reference ID,Habitable Rooms,Bedrooms,Tenure,Wheelchair?,Studio?,Tenure Type
A758,3,2,open,,,
A759,5,3,open,,,
A760,4,2,open,,,
A762,4,2,open,,,
A763,2,1,open,,,
A764,3,2,open,,,
A765,2,1,intermediate,,,
A766,4,2,intermediate,,,
A767,4,2,open,,,
A768,3,2,open,,,
A770,4,2,intermediate,,,
A771,2,1,intermediate,,,
A772,5,1,open,,,
A773,3,2,open,,,
A774,2,1,open,,,
A775,4,2,intermediate,,,
A776,4,2,open,,,
A777,3,2,open,,,
A779,4,2,intermediate,,,
A780,2,1,intermediate,,,
A781,5,3,open,,,
A782,3,2,open,,,
A783,2,1,open,,,
A784,4,2,open,,,
A785,4,2,open,,,
A787,2,1,open,,,
A788,4,2,open,,,
A789,2,1,open,,,
A790,5,3,open,,,
A791,3,2,open,,,
A792,2,1,open,,,
A793,4,2,open,,,
A795,4,2,open,,,
A796,5,3,open,,,
A797,3,2,open,,,
A798,4,2,open,,,
A799,5,3,social,,,
A800,5,3,social,,,
A801,5,3,social,,,
A803,5,3,social,,,
A804,5,3,social,,,
A805,5,3,social,,,
A806,5,3,intermediate,,,
A807,2,1,intermediate,,,
A808,5,3,social,,,
A810,4,3,social,,,
A811,2,1,social,,,
A812,2,1,social,,,
A813,2,1,social,,,
A814,4,3,social,,,
A815,3,1,intermediate,,,
A817,4,2,intermediate,,,
A818,4,2,intermediate,,,
A761,2,1,intermediate,,,
A769,2,1,intermediate,,,
A778,2,1,intermediate,,,
A786,3,2,open,,,
A794,2,1,open,,,
A802,5,3,social,,,
A809,2,1,social,,,
A816,4,2,intermediate,,,
