Reference ID,Habitable Rooms,Bedrooms,Tenure,Wheelchair?,Studio?,Tenure Type
H2.A.01.01,2,1,intermediate,,,Shared Ownership
H2.A.01.02,4,2,intermediate,Yes,,Shared Ownership
H2.A.01.03,3,1,intermediate,Yes,,Shared Ownership
H2.A.01.04,3,1,intermediate,Yes,,Shared Ownership
H2.A.01.05,3,1,intermediate,Yes,,Shared Ownership
H2.A.01.06,4,2,intermediate,,,Shared Ownership
H2.A.01.07,4,2,intermediate,Yes,,Shared Ownership
H2.A.02.01,2,1,intermediate,,,Shared Ownership
H2.A.02.02,4,2,intermediate,Yes,,Shared Ownership
H2.A.02.03,3,1,intermediate,Yes,,Shared Ownership
H2.A.02.04,3,1,intermediate,Yes,,Shared Ownership
H2.A.02.05,3,1,intermediate,Yes,,Shared Ownership
H2.A.02.06,4,2,intermediate,,,Shared Ownership
H2.A.02.07,4,2,intermediate,Yes,,Shared Ownership
H2.A.03.01,2,1,open,,,
H2.A.03.02,4,2,open,Yes,,
H2.A.03.03,3,1,open,Yes,,
H2.A.03.04,3,1,open,Yes,,
H2.A.03.05,3,1,open,Yes,,
H2.A.03.06,4,2,open,,,
H2.A.03.07,4,2,open,Yes,,
H2.A.04.01,2,1,open,,,
H2.A.04.02,4,2,open,Yes,,
H2.A.04.03,3,1,open,Yes,,
H2.A.04.04,3,1,open,Yes,,
H2.A.04.05,3,1,open,Yes,,
H2.A.04.06,4,2,open,,,
H2.A.04.07,4,2,open,Yes,,
H2.A.05.01,4,2,open,,,
H2.A.05.02,3,1,open,,,
H2.A.05.03,2,1,open,,,
H2.A.05.04,2,1,open,,,
H2.A.05.05,3,2,open,,,
H2.A.05.06,4,2,open,,,
H2.A.06.01,4,2,open,,,
H2.A.06.02,4,2,open,,,
H2.A.06.03,2,1,open,,,
H2.A.06.04,4,2,open,,,
H2.A.06.05,4,2,open,,,
H2.A.07.01,3,1,open,,,
H2.A.07.02,2,1,open,,,
H2.A.07.03,2,1,open,,,
H2.A.07.04,2,1,open,,,
H2.A.07.05,4,2,open,,,
H2.A.08.01,5,3,open,,,
H2.A.08.02,3,1,open,,,
H2.A.08.03,3,1,open,,,
H2.A.08.04,4,2,open,,,
H2.A.09.01,5,3,open,,,
H2.A.09.02,3,1,open,,,
H2.B.01.01,5,3,intermediate,,,Affordable Rent
H2.B.01.02,5,3,intermediate,,,Affordable Rent
H2.B.01.03,5,3,intermediate,Yes,,Affordable Rent
H2.B.01.04,5,3,intermediate,Yes,,Affordable Rent
H2.B.02.01,5,3,intermediate,Yes,,Affordable Rent
H2.B.02.02,4,2,intermediate,,,Affordable Rent
H2.B.02.03,3,1,intermediate,,,Affordable Rent
H2.B.02.04,4,2,intermediate,Yes,,Affordable Rent
H2.B.02.05,5,3,intermediate,Yes,,Affordable Rent
H2.B.03.01,5,3,intermediate,Yes,,Affordable Rent
H2.B.03.02,4,2,intermediate,,,Affordable Rent
H2.B.03.03,3,1,intermediate,,,Affordable Rent
H2.B.03.04,4,2,intermediate,Yes,,Affordable Rent
H2.B.03.05,5,3,intermediate,Yes,,Affordable Rent
H2.B.04.01,5,3,intermediate,Yes,,Affordable Rent
H2.B.04.02,4,2,intermediate,,,Affordable Rent
H2.B.04.03,3,1,intermediate,,,Affordable Rent
H2.B.04.04,4,2,intermediate,Yes,,Affordable Rent
H2.B.04.05,5,3,intermediate,Yes,,Affordable Rent
H2.B.05.01,5,3,intermediate,Yes,,Affordable Rent
H2.B.05.02,4,2,intermediate,,,Affordable Rent
H2.B.05.03,3,1,intermediate,,,Affordable Rent
H2.B.05.04,4,2,intermediate,Yes,,Affordable Rent
H2.B.05.05,5,3,intermediate,Yes,,Affordable Rent
H2.B.06.01,5,3,intermediate,Yes,,Affordable Rent
H2.B.06.02,4,2,intermediate,,,Affordable Rent
H2.B.06.03,3,1,intermediate,,,Affordable Rent
H2.B.06.04,4,2,intermediate,Yes,,Affordable Rent
H2.B.06.05,5,3,intermediate,Yes,,Affordable Rent
H2.B.07.01,5,3,intermediate,Yes,,Affordable Rent
H2.B.07.02,4,2,intermediate,,,Affordable Rent
H2.B.07.03,3,1,intermediate,,,Affordable Rent
H2.B.07.04,4,2,intermediate,Yes,,Affordable Rent
H2.B.07.05,5,3,intermediate,Yes,,Affordable Rent
H2.B.08.01,5,3,intermediate,Yes,,Affordable Rent
H2.B.08.02,4,2,intermediate,,,Affordable Rent
H2.B.08.03,3,1,intermediate,,,Affordable Rent
H2.B.08.04,4,2,intermediate,Yes,,Affordable Rent
H2.B.08.05,5,3,intermediate,Yes,,Affordable Rent
H2.B.09.01,5,3,intermediate,Yes,,Affordable Rent
H2.B.09.02,4,2,intermediate,,,Affordable Rent
H2.B.09.03,3,1,intermediate,,,Affordable Rent
H2.B.09.04,4,2,intermediate,,,Affordable Rent
H2.B.09.05,5,3,intermediate,Yes,,Affordable Rent
H2.C.01.01,4,2,open,,,
H2.C.01.02,2,1,open,,,
H2.C.01.03,1,1,open,,Yes,
H2.C.01.04,4,2,open,,,
H2.C.01.05,4,2,open,,,
H2.C.01.06,4,2,open,,,
H2.C.02.01,4,2,open,,,
H2.C.02.02,2,1,open,,,
H2.C.02.03,1,1,open,,Yes,
H2.C.02.04,4,2,open,,,
H2.C.02.05,4,2,open,,,
H2.C.02.06,1,1,open,,Yes,
H2.C.02.07,2,1,open,,,
H2.C.02.08,4,2,open,,,
H2.C.03.01,4,2,open,,,
H2.C.03.02,2,1,open,,,
H2.C.03.03,1,1,open,,Yes,
H2.C.03.04,4,2,open,,,
H2.C.03.05,4,2,open,,,
H2.C.03.06,1,1,open,,Yes,
H2.C.03.07,2,1,open,,,
H2.C.03.08,4,2,open,,,
H2.C.04.01,4,2,open,,,
H2.C.04.02,2,1,open,,,
H2.C.04.03,1,1,open,,Yes,
H2.C.04.04,4,2,open,,,
H2.C.04.05,4,2,open,,,
H2.C.04.06,1,1,open,,Yes,
H2.C.04.07,2,1,open,,,
H2.C.04.08,4,2,open,,,
H2.C.05.01,4,2,open,,,
H2.C.05.02,2,1,open,,,
H2.C.05.03,1,1,open,,Yes,
H2.C.05.04,4,2,open,,,
H2.C.05.05,4,2,open,,,
H2.C.05.06,1,1,open,,Yes,
H2.C.05.07,2,1,open,,,
H2.C.05.08,4,2,open,,,
H2.C.06.01,4,2,open,,,
H2.C.06.02,2,1,open,,,
H2.C.06.03,1,1,open,,Yes,
H2.C.06.04,4,2,open,,,
H2.C.06.05,4,2,open,,,
H2.C.06.06,1,1,open,,Yes,
H2.C.06.07,2,1,open,,,
H2.C.06.08,4,2,open,,,
H2.C.07.01,4,2,open,,,
H2.C.07.02,2,1,open,,,
H2.C.07.03,1,1,open,,Yes,
H2.C.07.04,4,2,open,,,
H2.C.07.05,4,2,open,,,
H2.C.07.06,1,1,open,,Yes,
H2.C.07.07,2,1,open,,,
H2.C.07.08,4,2,open,,,
H2.C.08.01,4,2,open,,,
H2.C.08.02,2,1,open,,,
H2.C.08.03,1,1,open,,Yes,
H2.C.08.04,4,2,open,,,
H2.C.08.05,4,2,open,,,
H2.C.08.06,1,1,open,,Yes,
H2.C.08.07,2,1,open,,,
H2.C.08.08,4,2,open,,,
H2.C.09.01,4,2,open,,,
H2.C.09.02,2,1,open,,,
H2.C.09.03,1,1,open,,Yes,
H2.C.09.04,4,2,open,,,
H2.C.09.05,4,2,open,,,
H2.C.09.06,1,1,open,,Yes,
H2.C.09.07,2,1,open,,,
H2.C.09.08,4,2,open,,,
H2.C.10.01,4,2,open,,,
H2.C.10.02,2,1,open,,,
H2.C.10.03,1,1,open,,Yes,
H2.C.10.04,4,2,open,,,
H2.C.10.05,4,2,open,,,
H2.C.10.06,1,1,open,,Yes,
H2.C.10.07,2,1,open,,,
H2.C.10.08,4,2,open,,,
H2.C.11.01,4,2,open,,,
H2.C.11.02,2,1,open,,,
H2.C.11.03,1,1,open,,Yes,
H2.C.11.04,4,2,open,,,
H2.C.11.05,4,2,open,,,
H2.C.11.06,1,1,open,,Yes,
H2.C.11.07,2,1,open,,,
H2.C.11.08,4,2,open,,,
H2.C.12.01,4,2,open,,,
H2.C.12.02,2,1,open,,,
H2.C.12.03,1,1,open,,Yes,
