Reference ID,Habitable Rooms,Bedrooms,Tenure,Wheelchair?,Studio?,Tenure Type
H4.A.01.01,3,2,open,,,
H4.A.01.02,5,3,open,,,
H4.A.01.03,2,1,open,,,
H4.A.01.04,4,2,open,,,
H4.A.01.05,3,2,open,,,
H4.A.02.01,3,2,open,,,
H4.A.02.02,5,3,open,,,
H4.A.02.03,2,1,open,,,
H4.A.02.04,4,2,open,,,
H4.A.02.05,5,3,open,,,
H4.A.03.01,3,2,open,,,
H4.A.03.02,5,3,open,,,
H4.A.03.03,2,1,open,,,
H4.A.03.04,4,2,open,,,
H4.A.03.05,5,3,open,,,
H4.A.04.01,3,2,open,,,
H4.A.04.02,5,3,open,,,
H4.A.04.03,2,1,open,,,
H4.A.04.04,4,2,open,,,
H4.A.04.05,5,3,open,,,
H4.A.05.01,3,2,open,,,
H4.A.05.02,5,3,open,,,
H4.A.05.03,2,1,open,,,
H4.A.05.04,4,2,open,,,
H4.A.05.05,5,3,open,,,
H4.A.06.01,3,2,open,,,
H4.A.06.02,5,3,open,,,
H4.A.06.03,2,1,open,,,
H4.A.06.04,4,2,open,,,
H4.A.06.05,5,3,open,,,
H4.A.07.01,2,1,open,,,
H4.A.07.02,5,3,open,,,
H4.A.07.03,2,1,open,,,
H4.A.07.04,4,2,open,,,
H4.A.07.05,5,3,open,,,
H4.A.08.01,5,3,open,,,
H4.A.08.02,2,1,open,,,
H4.A.08.03,4,2,open,,,
H4.A.08.04,5,3,open,,,
H4.A.09.01,4,2,open,,,
H4.A.09.02,4,2,open,,,
H4.A.09.03,5,3,open,,,
H4.B.01.01,2,1,open,,,
H4.B.01.02,3,2,open,,,
H4.B.01.03,2,1,open,,,
H4.B.01.04,1,1,open,,Yes,
H4.B.01.05,2,1,open,,,
H4.B.01.06,3,2,open,,,
H4.B.02.01,2,1,open,,,
H4.B.02.02,3,2,open,,,
H4.B.02.03,2,1,open,,,
H4.B.02.04,1,1,open,,Yes,
H4.B.02.05,2,1,open,,,
H4.B.02.06,3,2,open,,,
H4.B.03.01,2,1,open,,,
H4.B.03.02,3,2,open,,,
H4.B.03.03,2,1,open,,,
H4.B.03.04,1,1,open,,Yes,
H4.B.03.05,2,1,open,,,
H4.B.03.06,3,2,open,,,
H4.B.04.01,2,1,open,,,
H4.B.04.02,3,2,open,,,
H4.B.04.03,2,1,open,,,
H4.B.04.04,1,1,open,,Yes,
H4.B.04.05,2,1,open,,,
H4.B.04.06,3,2,open,,,
H4.B.05.01,2,1,open,,,
H4.B.05.02,3,2,open,,,
H4.B.05.03,2,1,open,,,
H4.B.05.04,1,1,open,,Yes,
H4.B.05.05,2,1,open,,,
H4.B.05.06,3,2,open,,,
H4.B.06.01,2,1,open,,,
H4.B.06.02,3,2,open,,,
H4.B.06.03,2,1,open,,,
H4.B.06.04,1,1,open,,Yes,
H4.B.06.05,2,1,open,,,
H4.B.06.06,3,2,open,,,
H4.B.07.01,2,1,open,,,
H4.B.07.02,3,2,open,,,
H4.B.07.03,2,1,open,,,
H4.B.07.04,1,1,open,,Yes,
H4.B.07.05,2,1,open,,,
H4.B.07.06,3,2,open,,,
H4.B.08.01,2,1,open,,,
H4.B.08.02,3,2,open,,,
H4.B.08.03,2,1,open,,,
H4.B.08.04,1,1,open,,Yes,
H4.B.08.05,2,1,open,,,
H4.B.08.06,3,2,open,,,
H4.B.09.01,2,1,open,,,
H4.B.09.02,3,2,open,,,
H4.B.09.03,3,1,open,,,
H4.B.09.04,3,1,open,,,
H4.B.09.05,3,2,open,,,
H4.C.01.01,3,2,open,,,
H4.C.01.02,4,2,open,,,
H4.C.01.03,2,1,open,,,
H4.C.01.04,5,3,open,,,
H4.C.01.05,1,1,open,,Yes,
H4.C.01.06,4,2,open,Yes,,
H4.C.01.07,4,2,open,Yes,,
H4.C.01.08,1,1,open,,Yes,
H4.C.02.01,5,3,open,,,
H4.C.02.02,4,2,open,,,
H4.C.02.03,2,1,open,,,
H4.C.02.04,5,3,open,,,
H4.C.02.05,1,1,open,,Yes,
H4.C.02.06,4,2,open,Yes,,
H4.C.02.07,4,2,open,Yes,,
H4.C.02.08,1,1,open,,Yes,
H4.C.03.01,5,3,open,,,
H4.C.03.02,4,2,open,,,
H4.C.03.03,2,1,open,,,
H4.C.03.04,5,3,open,,,
H4.C.03.05,1,1,open,,Yes,
H4.C.03.06,4,2,open,Yes,,
H4.C.03.07,4,2,open,Yes,,
